L.p.;NUMER;PYTANIE;ODP1;ODP2;ODP3;ODP4
669;PL020-0088;Jaką energię przetwarzamy podczas rozładowania akumulatora:;chemiczną w elektryczną;cieplną w chemiczną;elektryczną w cieplną;elektryczną w chemiczną
670;PL020-0089;Jaką pozycję przyjmuje wskaźnik ślizgu zakrętomierza, kiedy informuje o zakręcie skoordynowanym:;kulka wskaźnika znajduje się w środkowym położeniu;kulka nie znajduje się w środkowym ani max. położeniu;kulka wskażnika jest w max. skrajnym położeniu w kierunku przeciwnym do przechylenia;kulka wskaźnika jest w max. skrajnym położeniu w kierunku przechylenia
671;PL020-0092;Jaki przyrząd lotniczy przeznaczony jest do pomiaru prędkości kątowej zespołu napędowego:;obrotomierz;prędkościomierz;paliwomierz;wysokościomierz
672;PL020-0093;Jaki przyrząd lotniczy służy do odległościowego pomiaru paliwa w zbiornikach:;paliwomierz;obrotomierz;wariometr;manometr ciśnienia
673;PL020-0094;Jaki przyrząd określa położenie przestrzenne samolotu podczas lotu:;sztuczny horyzont;wskaźnik radiowysokościomier za;prędkościomierz;obrotomierz
674;PL020-0095;Jaki rodzaj środka odladzającego jest stosowany w instalacji przeciw oblodzeniowej w czasie lotu:;Powietrze pobierane od sprężarki silnika;Gazy spalinowe;Specjalny gaz;Płyn odladzający
675;PL020-0096;Jakie ciśnienie odbierane jest na samolocie;statyczne i całkowite;dynamiczne i statyczne;całkowite i dynamiczne;całkowite
676;PL020-0097;Jakie działania należy podjąć, gdy w czasie przeglądu samolotu zostanie stwierdzone przez pilota uszkodzenie pneumatyków kół podwozia:;Określić stopień uszkodzenia (przetarcie, przebicie) i zgłosić ten fakt obsłudze technicznej oraz wpisać uszkodzenie w dzienniku technicznym jako usterkę;Określić stopień zużycia i samodzielnie podjąć decyzję o użytkowaniu;Samodzielnie wymienić koło uszkodzone;Zgłosić obsłudze technicznej uszkodzenie bez wpisywania do dziennika technicznego
677;PL020-0098;Jakie elementy silnika wyposażone są w instalację przeciw oblodzeniową:;Krawędź natarcia chwytu powietrza i gaźnik silnika tłokowego;Kierownice łopatek sprężarki;Elementy maskowania;Nie ma takiej instalacji
678;PL020-0099;Jakie główne zespoły płatowca są zabezpieczone przed oblodzeniem:;Krawędź natarcia skrzydeł i stateczników;Krawędzie natarcia sterów i lotek;Krawędzie natarcia klap i sterów;Krawędzie natarcia klap i lotek
679;PL020-0100;Jakie przyrządy przeznaczone są do określenia stanu pracy silnika lotniczego:;manometry, termometry i obrotomierz;prędkościomierz;wysokościomierz;busola lotnicza
680;PL020-0101;Jakie wskazania pokazuje woltomierz prądu stałego:;wartość napięcia w sieci;wartość prądu;wartość częstotliwości;wartość oporności
681;PL020-0102;Jakiego typu są sygnalizatory oblodzenia:;Mechaniczne i elektroniczne;Tylko elektroniczne;Tylko mechaniczne;Nie ma sygnalizatorów
682;PL020-0103;Jakość smarowania silnika kontrolowana jest poprzez pomiar;Temperatury i ciśnienia oleju;Temperatury głowic cylindrów;Prędkości obrotowej silnika;Ciśnienia ładowania
683;PL020-0104;Jednostkowe zużycie paliwa wyrażone jest w;g/kW h;g/h;g/kW;l/h
684;PL020-0105;Jednoznaczność namiaru w radiokompasie otrzymujemy:;Dzięki zastosowaniu anteny stałej i anteny ramowej co daje wypadkową charakterystykę odbioru kardioidę;Dzięki dobraniu odpowiedniej częstotliwości;Dzięki zastosowaniu odpowiedniej modulacji;Dzięki otrzymaniu wypadkowej charakterystyki odbioru w postaci koła
685;PL020-0106;Kabina ciśnieniowa służy:;Zapewnia wykonywanie lotów na dużych wysokościach bez konieczności stosowania tlenu;Zabezpiecza przed dostaniem się wody w opadach deszczu;Utrzymuje stałe ciśnienie między kabiną a otoczeniem;Zapobiega przed dostaniem się pyłu
686;PL020-0107;Kadłub konstrukcji półskorupowej składa się z części:;Wręgi, podłużnice, pokrycie;Dźwigary, wręgi, pokrycie;Pokrycie, podłużnice, dźwigary;Wręgi, podłużnice, dźwigary
687;PL020-0108;Kadłub konstrukcji skorupowej składa się z części:;Wręgi i pokrycia;Wręgi, podłużnice, wypełniacz ulowy;Podłużnice, pokrycie, dźwigary;Podłużnice, wręgi, pokrycie
688;PL020-0109;Kiedy sprawdza się sprawność układu zapłonowego;W czasie próby silnika;Po wymianie oleju;W czasie lotu;Podczas przeglądu przedlotowego
689;PL020-0110;Klapka odciążająca służy do:;Zmniejszenia sił działających na elementach sterowania sterami i lotkami;Wyważenia samolotu;Ułatwia wychylenie klap;Ułatwia wychylenie spoilerów
690;PL020-0111;Klapy służą:;Wychylenie ich, zwiększa współczynnik siły nośnej przy mniejszych prędkościach samolotu bez zwiększenia kąta natarcia skrzydła;Jako hamulec aerodynamiczne;Do zwiększenia siły nośnej przy dużych prędkościach;Do sterowania przechyleniem w osi poprzecznej samolotu
691;PL020-0112;Kompensacja masowa:;Stosowana do wyeliminowania drgań samowzbudnych zespołów sterujących;Stosowana dla wyeliminowania drgań steru wysokości;Stosowana dla wyeliminowania drgań klap;Stosowana dla wyeliminowania drgań tylko steru kierunku
692;PL020-0114;Lotki służą do:;Sterowanie przechyleniem samolotu względem jego osi podłużnej;Utrzymania stateczności samolotu;Sterowności podłużnej;Sterowności kierunkowej
693;PL020-0115;Lód usuwany jest z krawędzi natarcia skrzydła zabezpieczonych nakładkami gumowymi (boots) przy pomocy:;Powietrze pod ciśnieniem;Elementy grzejne elektryczne wmontowane w segmenty gumowe;Gorące powietrze;Gazy spalinowe
694;PL020-0116;Mechanizm sterowania zaworami to;rozrząd;sterownik;rozdzielacz;regulator
695;PL020-0117;Moc przekazywana na wał śmigła zwana jest mocą;efektywną;niezbędną;nominalną;indykowaną
696;PL020-0118;Moc silnika wraz ze wzrostem wysokości;maleje;Pozostaje bez zmian;rośnie;Rośnie a potem maleje
697;PL020-0119;Moc silnika wysokościowego wraz ze wzrostem wysokości;Rośnie do wysokości obliczeniowej a potem maleje;Maleje;Pozostaje bez zmian;rośnie
698;PL020-0120;Moc tracona na pokonanie oporów mechanicznych wraz ze wzrostem temperatury oleju;Maleje, a potem rośnie;maleje;rośnie;Pozostaje bez zmian
699;PL020-0121;Moment zapłonu odniesiony do kąta obrotu wału silnika nazywamy kątem;Wyprzedzenia zapłonu;Opóźnienia zapłonu;Inicjacji zapłonu;zapłonu
700;PL020-0122;Na czym polega sprawdzenie pracy układu zapłonowego;określenie spadku prędkości obrotowej silnika dla każdego układu;Określenie maksymalnej prędkości obrotowej silnika dla każdego układu zapłonowego;Pomiar czasu przejścia silnika z obrotów biegu jałowego do maksymalnych;Pomiar wibracji silnika podczas pracy silnika na zakresie startowym
701;PL020-0123;Na jakie napięcie znamionowe buduje się prądnice prądu stałego lub alternatory:;28V lub 12 V;35V;10 V;40 V
702;PL020-0124;Nagły brak wskazań ciśnienia oleju (bez wzrostu temperatury oleju) jest zazwyczaj spowodowany;Uszkodzeniem układu pomiarowego;Uszkodzeniem akumulatora;Brakiem oleju;Uszkodzeniem chłodnicy oleju
703;PL020-0125;Najmniejsze natężenie ziemskiego pola magnetycznego jest na:;równiku magnetycznym;biegunie magnetycznym północnym;biegunie magnetycznym południowym;biegunie geograficznym
704;PL020-0126;Nakazem włączenia instalacji przeciw oblodzeniowej jest:;Analiza prognozy pogody na trasie lotu przez załogę, jeśli przewiduje oblodzenie, powinna być włączona niezależnie od sygnalizacji:;Włączenie się sygnalizacji ostrzegającej przed oblodzeniem;Zawsze w czasie lotu powinna być włączona;Zależnie od informacji służb ruchu lotniczego
705;PL020-0127;Niezbędny wydatek powietrza chłodzącego zapewniany jest poprzez zastosowanie odpowiednio ukształtowanych owiewek cylindrów zwanych;deflektorami;sterownicami;dyszami;zasłonkami
706;PL020-0128;Obecność wody w paliwie jest;niedopuszczalna;Dopuszczalna w ilości ok.5 ml./l;Dopuszczalna w formie emulsji;Dopuszczalna w wysokich temperaturach
707;PL020-0129;Od czego uzależniamy moc prądnicy zamontowanej na samolocie:;od ilości energii elektrycznej potrzebnej dla danego typu samolotu;od prędkości samolotu;od ciśnienia lotniska i wysokości lotu;od przyrządów ciśnieniowych
708;PL020-0130;Odbiornik GPS pozwala na:;Podanie aktualnej pozycji samolotu;Określenia kąta natarcia;Wykrywania frontów burzowych;Utrzymania łączności
709;PL020-0132;Oddzielacze powietrza z oleju silnikowego ze względu na sposób ich działania dzielimy na;Statyczne i dynamiczne;Odśrodkowe i dynamiczne;Bezwładnościowe i statyczne;Z filtrem i bez filtra
710;PL020-0133;Odległość mierzona za pomocą radioodległościomi erza to:;Odległość wzdłuż linii nachylonej między samolotem a radiolatarnią;Rzut prostopadły na ziemię linii między samolotem a radiolatarnią;Odległość do wyliczenia według podanego wzoru;Odległość orientacyjna
711;PL020-0134;Odpowiednia kolejność pracy cylindrów ma na celu;Równomierne obciążenie wału korbowego;Równomierne smarowanie silnika;Zmniejszenie zużycia paliwa;Pełniejsze spalanie mieszanki
712;PL020-0135;Odpowiednia kolejność zapłonu ma na celu;Zmniejszenie pulsacji momentu obrotowego;Równomierne smarowanie silnika;Zmniejszenie zużycia paliwa;Pełniejsze spalanie mieszanki
713;PL020-0136;Ogrzewanie wlotu do gaźnika ma na celu;Zabezpieczenie przed oblodzeniem;Ogrzanie powietrza w kabinie;Podniesienie temperatury paliwa;Podgrzanie oleju przed uruchomieniem
714;PL020-0140;Opony niskociśnieniowe przeznaczone są:;Są szerokie i przeznaczone do użytkowania na miękkim podłożu;Do użytkowania tylko na twardym podłożu;Tylko do samolotów lekkich;Są wąskie i przeznaczone do użytkowania na miękkim podłożu
715;PL020-0141;Opony wysokociśnieniowe służą:;Są wąskie i przeznaczone do użytkowania na twardym podłożu;Służą do użytkowania na miękkim podłożu;Są szerokie i przeznaczone tylko do samolotów lekkich;Służą do użytkowania tak na miękkim i na twardym podłożu
716;PL020-0142;Opracowanie, zatwierdzanie, wprowadzanie zmian w Instrukcji Użytkowanie w Locie:;Opracowuje producent samolotu, zatwierdza Państwowy Nadzór Lotniczy;Opracowuje użytkownik samolotu a zatwierdza jego Służba Jakości;Opracowuje użytkownik samolotu, a zatwierdza państwowy nadzór lotniczy;Opracowuje producent samolotu i zatwierdza jego służba jakości
717;PL020-0143;Optymalna temperatura oleju w silniku to (°C);90-100;30-40;50-70;140-160
718;PL020-0144;Oświetlenie zewnętrzne samolotu składa się z:;lampy antykolizyjnej, świateł pozycyjnych i reflektora;lampek oświetlenia tablicy przyrządów;lampki oświetlenia mapy;lampek w kabinie pasażerskiej
719;PL020-0145;Panele z elementami kontrolnymi i sterującymi radiostacji umieszczane są:;W kokpicie;W przedziałach elektronicznych;W kabinie pasażerskiej;W specjalnych lukach
720;PL020-0146;Parametrami charakteryzującym rozwijaną aktualnie moc silnika z doładowaniem są;Prędkość obrotowa i ciśnienie ładowania;Prędkość obrotowa i ciśnienie paliwa;Ciśnienie ładowania i temperatura głowic;Ciśnienie ładowania i ciśnienie oleju
721;PL020-0147;Parametrem kryterialnym do oceny pracy silnikowej instalacji paliwowej jest;Ciśnienie paliwa;Zużycie paliwa;Ciśnienie oleju;Prędkość obrotowa
722;PL020-0149;Podaj kolejność cykli pracy silnika czterosuwowego;Ssanie Sprężanie Rozprężanie Wydech;Sprężanie Ssanie Rozprężanie Wydech;Ssanie Rozprężanie Wydech Sprężanie;Ssanie Sprężanie Rozprężanie Praca
723;PL020-0150;Podgrzewanie silnika gorącym powietrzem w okresie niskich temperatur ma na celu;Ułatwienie rozruchu;Zwiększenie lepkości oleju;Zwiększenie energii zapłonu;Ułatwienie tworzenia się mieszanki palnej
724;PL020-0151;Podsłuch sygnałów z radiokompasu uzyskujemy:;Przez odpowiednie ustawienie przełącznika na Audio Selektor Panel ( z rosyjska SPU);Przez specjalny wzmacniacz;Przez przyciśnięcie przycisku radio;Przez przyciśnięcie przycisku SPU
725;PL020-0152;Podstawowym rodzajem pracy radiokompasu jest:;Pozycja ADF, z rosyjska Kompas;Antena;Ramka;WŁ
726;PL020-0153;Pokładowy Dziennik Techniczny:;Służy do potwierdzenia wykonanych obsług technicznych do lotu i po locie potwierdzenia przyjęcia przez załogę samolotu do lotu i zdania po locie obsłudze technicznej rejestracji czasu pracy samolotu, wpisywania niesprawności samolotu itp. Przeznaczony dla personelu technicznego i latającego;Służy dla personelu technicznego przy obsłudze technicznej liniowej;Służy dla personelu latającego dla wpisywania powstałych niesprawności;Stanowi dokument do potwierdzenia wykonania obsług technicznych wyższego rzędu
727;PL020-0154;Pokrycie skrzydła pracujące:;Sztywne, przenoszące obciążenie;Stosowane dla zwiększenia trwałości samolotu;Stosowane w celach estetycznych;Stosowane tylko w samolotach o małych prędkościach
728;PL020-0155;Pokrycie skrzydła tzw. niepracujące:;Elastyczne nie przenoszące obciążeń;Jako element konstrukcyjny dla zmniejszenia masy samolotu i przenoszący obciążenia;Łączy zespoły skrzydła jako ułatwienie konstrukcyjne i technologiczne;Stosowane w samolotach o dużych prędkościach
729;PL020-0156;Pomocnicze pompy podające paliwo zazwyczaj napędzane są;elektrycznie;od silnika;ręcznie;eżektorowo
730;PL020-0157;Pompa olejowa napędzana jest;Od silnika;elektrycznie;eżektorowo;hydraulicznie
731;PL020-0158;Pompa wtryskowa jest przeznaczona do;Wtrysk paliwa do cylindrów lub układu dolotowego;Mieszanie paliwa i powietrza;Przygotowanie mieszanki palnej;Podanie paliwa do gaźnika
732;PL020-0159;Poziom oleju „między kreskami” na miarce bagnetowej oznacza;Prawidłową ilość oleju;Nieprawidłową ilość oleju;Należy dolać do górnej kreski;Należy obniżyć poziom oleju do dolnej kreski
733;PL020-0160;Pozycja SBYw transponderze służy do:;Przygotowania transpondera do pracy;Uaktywnienia pracy transpondera;Podawania wysokości lotu;Identyfikacji
734;PL020-0161;Praca odbiornika GPS oparta jest na:;Doborze odpowiedniej ilości satelitów;Wybraniu odpowiednich radiolatarni prowadzących;Wykorzystaniu zjawiska Dopplera;Wykorzystaniu zjawiska interferencji
735;PL020-0163;Prądnicami prądu stałego, nazywamy maszyny elektryczne które służą do przetwarzania energii:;mechaniczną w elektryczną;elektryczną w chemiczną;chemiczna w elektryczną;elektryczną w cieplną
736;PL020-0164;Prądnice prądu stałego instalowane na samolotach zbudowane są jako:;samowzbudne – bocznikowe;szeregowe;obcowzbudne;dwustopniowe
737;PL020-0165;Prędkość przyrządową określamy jako:;prędkość wskazywana przez prędkościomierz;pozioma prędkość lotu samolotu względem ziemi;prędkość samolotu względem morza;prędkość kątowa
738;PL020-0166;Prędkość rzeczywistą określamy jako:;prędkość lotu samolotu względem powietrza o parametrach panujących na wysokości lotu;prędkość lotu samolotu względem ziemi;prędkość kątowa;prędkość wskazywana przez prędkościomierz
739;PL020-0167;Próbę iskrowników wykonuje się;W czasie przeglądu przedlotowego przed startem oraz zawsze kiedy uznamy to za konieczne;Przed każdym startem;W czasie lotu;W czasie przeglądu polotowego
740;PL020-0168;Przed pokręceniem śmigłem należy upewnić się że wyłączone są;iskrowniki;akumulator;alternator;radiostacja
741;PL020-0169;Przepustnica gaźnika sterowana jest przy pomocy;Dźwigni (cięgna) sterowania silnikiem;Regulatora prędkości obrotowej silnika;Regulatora skoku śmigła;Różnicy ciśnień
742;PL020-0170;Przy awarii prądnicy lub alternatora, na ile czasu powinno wystarczyć akumulatora do bezpiecznego lądowania:;0,5 h – 1 h;3 h – 4 h;5 h – 6 h;7 h – 8 h
743;PL020-0171;Przycisk IDENT w transponderze używany jest:;Na życzenie kontroli ruchu lotniczego;W celu stabilizacji częstotliwości;W celu wyłączenia;W celu poprawienia propagacji
744;PL020-0172;Przyczyną spalania stukowego jest;Za mała liczba oktanowa paliwa lub późny zapłon;Za duża liczba oktanowa paliwa;Za dużo oleju w paliwie;Za mała energia zapłonu
745;PL020-0173;Przydzielone pasmo częstotliwości w zakresie UKF dla łączności radiowej w lotnictwie cywilnym to:;118,00 – 136,975 MHz;105,00 – 131,00 MHz;95,00 – 101,00 MHz;76,00 – 98,00 MHz
746;PL020-0174;Radiokompas może pracować jako:;Radionamiernik dostarczający informacji o położeniu statku powietrznego względem radiolatarni naziemnej i jako średniofalowy odbiornik radiowy,;Krótkofalowy odbiornik radiowy;Urządzenie do pomiaru odległości;Wskaźnik wibracji
